representation,trial_index,c_value,class_weight,repeat_index,fold_index,macro_auroc,balanced_accuracy,composite_score
early_concat,11,10.0,balanced,2,1,0.8784360566969263,0.6047619047619046,0.7415989807294154
early_concat,11,10.0,balanced,2,2,0.8489056595578336,0.42857142857142855,0.638738544064631
early_concat,11,10.0,balanced,2,3,0.7468136030636031,0.36904761904761907,0.557930611055611
early_concat,11,10.0,balanced,2,4,0.8560696187870102,0.5214285714285715,0.6887490951077908
early_l2_concat,0,0.0001,none,0,0,0.7958858601715745,0.2642857142857143,0.5300857872286444
early_l2_concat,0,0.0001,none,0,1,0.8608486622073579,0.41666666666666663,0.6387576644370123
early_l2_concat,0,0.0001,none,0,2,0.8908843149604019,0.42142857142857143,0.6561564431944866
early_l2_concat,0,0.0001,none,0,3,0.8553879453879454,0.41666666666666663,0.6360273060273061
early_l2_concat,0,0.0001,none,0,4,0.860617661324183,0.5571428571428572,0.7088802592335202
early_l2_concat,0,0.0001,none,1,0,0.8699168820597392,0.40714285714285714,0.6385298696012982
early_l2_concat,0,0.0001,none,1,1,0.9210766045548653,0.4642857142857143,0.6926811594202897
early_l2_concat,0,0.0001,none,1,2,0.8853290550029681,0.5047619047619047,0.6950454798824364
early_l2_concat,0,0.0001,none,1,3,0.8582858807858809,0.35714285714285715,0.607714368964369
early_l2_concat,0,0.0001,none,1,4,0.8412392498805542,0.34285714285714286,0.5920481963688485
early_l2_concat,0,0.0001,none,2,0,0.8915588115588114,0.37857142857142856,0.6350651200651201
early_l2_concat,0,0.0001,none,2,1,0.8846753065774805,0.4428571428571429,0.6637662247173117
early_l2_concat,0,0.0001,none,2,2,0.8637397023266589,0.38095238095238093,0.6223460416395199
early_l2_concat,0,0.0001,none,2,3,0.8106826506826508,0.36904761904761907,0.5898651348651349
early_l2_concat,0,0.0001,none,2,4,0.8782541009714924,0.4428571428571429,0.6605556219143176
early_l2_concat,1,0.0001,balanced,0,0,0.8015716558573702,0.39761904761904765,0.5995953517382089
early_l2_concat,1,0.0001,balanced,0,1,0.8712890913434391,0.4761904761904762,0.6737397837669576
early_l2_concat,1,0.0001,balanced,0,2,0.8793021471282341,0.5404761904761904,0.7098891688022122
early_l2_concat,1,0.0001,balanced,0,3,0.8524117549117548,0.4523809523809524,0.6523963536463536
